"Year","Site","Box","Attempt","Species.J","Nest.ID","Nestl.ID","Bandage","Nestling.Max","K","Hem","Blowflies","inc.temp","nestling.temp","Total.Trip.min","T.perc","mass.A","Vol.2"
2019,"DR","5",1,"EABL","DR5.1.19","R3-630",7,5,0.3988112,,"No",34.601983,34.57588437,0.277382646,0.162162162,0.7019,954.56
2019,"DR","5",1,"EABL","DR5.1.19","L1-628",7,5,0.3829769,,"No",34.601983,34.57588437,0.09141116,0.366787279,0.7019,954.56
2019,"DR","5",1,"EABL","DR5.1.19","L1-628",7,5,0.3829769,,"No",34.601983,34.57588437,0.277382646,0.162162162,0.7019,954.56
2019,"DR","5",1,"EABL","DR5.1.19","L3-626",7,5,0.3880467,,"No",34.601983,34.57588437,0.09141116,0.366787279,0.7019,954.56
2019,"DR","5",1,"EABL","DR5.1.19","L3-626",7,5,0.3880467,,"No",34.601983,34.57588437,0.277382646,0.162162162,0.7019,954.56
2019,"DR","5",2,"EABL","DR5.2.19","R3-4568",8,4,0.4000472,43,"No",26.21643969,32.85599166,0.211035392,0.349087712,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","R3-4568",8,4,0.4000472,43,"No",26.21643969,32.85599166,0.156326331,0.202898551,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","R3-4568",8,4,0.4000472,43,"No",26.21643969,32.85599166,0.124246988,0.100903614,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L3-4569",8,4,0.4043747,44,"No",26.21643969,32.85599166,0.211035392,0.349087712,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L3-4569",8,4,0.4043747,44,"No",26.21643969,32.85599166,0.156326331,0.202898551,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","L3-4569",8,4,0.4043747,44,"No",26.21643969,32.85599166,0.124246988,0.100903614,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","R1-4571",8,4,0.3991961,41,"No",26.21643969,32.85599166,0.211035392,0.349087712,0.2565,1737.40125
2019,"DR","5",2,"EABL","DR5.2.19","R1-4571",8,4,0.3991961,41,"No",26.21643969,32.85599166,0.156326331,0.202898551,0.2565,1737.40125
