"Nestl.ID","Vol.2","mass.A","Total.Trip.min","T.perc","nestling.temp","Nestl.ID.1","bf","K","Hem","Nest.ID","Nestling.Max","Species.J","Vol.2.1","Species"
"L1-548",145.323125,0.65775,0.1797030855,0.290816158,29.73637908,"L1-548","0",0.3671827,40,"W34.1.19",4,"EABL",226.08,"EABL"
"L1-557",1494.83625,1.6946,0.21104921325,0.39443854925,33.88911774,"L1-557","0",0.3869609,35,"R3.2.19",5,"EABL",1494.83625,"EABL"
"L1-561",1142.5675,0.3141,0.160979031,0.27511382925,33.31323997,"L1-561","0",0.3770669,39,"R5.1.19",5,"EABL",1142.5675,"EABL"
"L1-567",2612.381875,0.8824,0.12617499625,0.3628204225,33.43437411,"L1-567","0",0.3342668,43,"R15.2.19",3,"EABL",2612.381875,"EABL"
"L1-60",944.7475,0.1605,0.147538624,0.181295839333333,33.43437411,"L1-60","0",0.3981899,27,"R15.1.19",3,"EABL",944.7475,"EABL"
"L1-628",954.56,0.7019,0.184396903,0.2644747205,34.57588437,"L1-628","0",0.3829769,NA,"DR5.1.19",5,"EABL",954.56,"EABL"
"L1-673",389.36,0.9299,0.22001287,0.235320049,34.59693763,"L1-673","0",0.3648118,41,"W60.1.19",4,"EABL",389.36,"EABL"
"L1-679",128.54375,1.5659,0.17426034,0.4257107295,33.89372415,"L1-679","0",0.3773994,40,"W24.1.19",4,"EABL",128.54375,"EABL"
"L1-685",794.8125,1.1802,0.289311546,0.062818109,32.64105634,"L1-685","0",0.3764395,42,"W14.1.19",4,"EABL",794.8125,"EABL"
"L1-689",398.485625,0.3545,0.185377638333333,0.416703427333333,35.68872971,"L1-689","0",0.3772991,42,"W57.1.19",4,"EABL",571.8725,"EABL"
"L1-697",1317.03375,1.8892,0.159877848,0.425934261333333,29.45324707,"L1-697","0",0.3604356,30,"W13.1.19",4,"EABL",1317.03375,"EABL"
"L1H-665",1269.835625,0.8081,0.286305074,0.380308573,37.0181501,"L1H-665","0",0.3518901,29,"R3.1.19",5,"EABL",1269.835625,"EABL"
"L1halvx-47657",450.9825,1.2725,0.2189441185,0.2111195975,30.58723056,"L1halvx-47657","0",0.3440803,38,"R2.1.19",4,"EABL",450.9825,"EABL"
"L2-055",77.715,0.956,0.0964500173333333,0.379831701333333,28.16183326,"L2-055","0",0.3832287,35,"W50.2.19",3,"EABL",77.715,"EABL"
"L2-269144300",666.66125,0.94,0.1116228755,0.31021653125,28.51948849,"L2-269144300","1",0.3409152,43,"W56B.2.19",4,"EABL",666.66125,"EABL"
"L2-291",2096.53875,NA,0.138055774,0.281273741,35.37318368,"L2-291","0",0.361191,39,"W57.2.19",4,"EABL",2096.53875,"EABL"
"L2-43",331.85875,0.5975,0.126805213,0.26171187,29.663002,"L2-43","0",0.379383,42,"LF8.1.19",5,"EABL",331.85875,"EABL"
"L2-47653",419.5825,1.4825,0.137836573666667,0.172391687333333,29.71657701,"L2-47653","0",0.3519206,43,"R1.1.19",5,"EABL",419.5825,"EABL"
"L2-47656",450.9825,1.2725,0.2189441185,0.2111195975,30.58723056,"L2-47656","0",0.3444679,36,"R2.1.19",4,"EABL",450.9825,"EABL"
"L2-47667",1079.7675,0.6831,0.2448553815,0.184299826,33.81420931,"L2-47667","0",0.3770208,36,"R12.1.19",5,"EABL",1079.7675,"EABL"
"L2-547",145.323125,0.65775,0.1797030855,0.290816158,29.73637908,"L2-547","0",0.3673509,37,"W34.1.19",4,"EABL",226.08,"EABL"
"L2-575",689.23,3.8217,0.15463921575,0.32785449275,34.85857592,"L2-575","1",0.3621577,23,"R7.1.19",5,"EABL",689.23,"EABL"
"L2-579",599.54375,0.9574,0.15525456325,0.250182566,31.03556194,"L2-579","0",0.3589765,42,"LF8.2.19",4,"EABL",1075.64625,"EABL"
"L2-585",784.215,0.5553,0.1040083555,0.2002583655,35.35414058,"L2-585","0",0.3745718,42,"R11.1.19",4,"EABL",784.215,"EABL"
"L2-588",274.3575,1.0609,0.17211703725,0.3134790735,35.88157293,"L2-588","0",0.3872257,31,"DR7.1.19",4,"EABL",274.3575,"EABL"
"L2-594",58.875,0.9352,NA,NA,34.13097243,"L2-594","0",0.383621,40,"W39.2.19",4,"EABL",58.875,"EABL"
"L2-598",NA,0.5883,0.156569692,0.35355153425,NA,"L2-598","0",0.3729308,41,"W6.2.19",4,"EABL",NA,"EABL"
"L2-635",941.01875,3.6218,0.267077867,0.082010577,26.86581596,"L2-635","0",0.431248,NA,"W48.1.19",5,"EABL",941.01875,"EABL"
"L2-662",1269.835625,0.8081,0.286305074,0.380308573,37.0181501,"L2-662","0",0.3608973,29,"R3.1.19",5,"EABL",1269.835625,"EABL"
"L2-698",1317.03375,1.8892,0.159877848,0.425934261333333,29.45324707,"L2-698","0",0.3518855,32,"W13.1.19",4,"EABL",1317.03375,"EABL"
"L3-059",637.8125,2.7004,0.11754380525,0.2871800785,26.89815444,"L3-059","0",0.3745927,39,"W56.1.19",3,"EABL",637.8125,"EABL"
"L3-063",1887.72875,2.579,0.0965961693333333,0.394650801666667,33.21760563,"L3-063","0",0.37785,35,"W45.3.19",4,"EABL",1887.72875,"EABL"
"L3-228164054",666.66125,0.94,0.1116228755,0.31021653125,28.51948849,"L3-228164054","1",0.292779,37,"W56B.2.19",4,"EABL",666.66125,"EABL"
"L3-289",2096.53875,NA,0.138055774,0.281273741,35.37318368,"L3-289","0",0.3548059,41,"W57.2.19",4,"EABL",2096.53875,"EABL"
"L3-30",458.8325,1.1981,0.127492645,0.190258254,27.69647696,"L3-30","0",0.3546828,37,"W17.2.19",4,"EABL",458.8325,"EABL"
"L3-44524",1117.84,1.3744,0.145508947666667,0.205637513,31.36293964,"L3-44524","0",0.3650962,42,"LF4.1.19",5,"EABL",1117.84,"EABL"
"L3-4552",546.55625,0.6616,0.169754557,0.407263518333333,30.35838736,"L3-4552","0",0.3950433,40,"W19.1.19",5,"EABL",546.55625,"EABL"
"L3-4569",1737.40125,0.2565,0.163869570333333,0.217629959,32.85599166,"L3-4569","0",0.4043747,44,"DR5.2.19",4,"EABL",1737.40125,"EABL"
"L3-47",454.9075,1.8164,0.180877514,0.2065061705,32.93017578,"L3-47","0",0.3663161,34.7,"W32.1.19",5,"EABL",454.9075,"EABL"
"L3-516",512.01625,0.766,0.129606488333333,0.419613971333333,30.23574665,"L3-516","0",0.3844755,49,"W55.1.19",4,"EABL",512.01625,"EABL"
"L3-521",78.5,NA,0.26527937,0.457280159333333,35.18524124,"L3-521","0",0.4169802,39,"W62B.1.19",5,"EABL",78.5,"EABL"
"L3-538",1727.58875,0.6866,0.14606971575,0.2501687915,31.41568728,"L3-538","0",0.4148214,37,"DR1A.1.19",4,"EABL",1727.58875,"EABL"
"L3-544",494.35375,0.4121,0.113446347333333,0.255202928666667,27.17362319,"L3-544","0",0.3962807,38,"R8.1.19",5,"EABL",494.35375,"EABL"
"L3-555",1494.83625,1.6946,0.21104921325,0.39443854925,33.88911774,"L3-555","0",0.3911316,36,"R3.2.19",5,"EABL",1494.83625,"EABL"
"L3-562",1142.5675,0.3141,0.160979031,0.27511382925,33.31323997,"L3-562","0",0.3875625,49,"R5.1.19",5,"EABL",1142.5675,"EABL"
"L3-565",2612.381875,0.8824,0.12617499625,0.3628204225,33.43437411,"L3-565","0",0.3721414,41,"R15.2.19",3,"EABL",2612.381875,"EABL"
